Time,Displacement,Velocity
0,0.785398163397448,0
7.24229125093131e-06,0.78539816321553,-5.02377104353365e-05
1.44845825018626e-05,0.785398162669776,-0.000100475384468795
2.17268737527939e-05,0.785398161760186,-0.000150713022082123
2.89691650037252e-05,0.785398160486761,-0.000200950623257069
6.51806212583818e-05,0.785398148662112,-0.000452138081917256
0.000101392077513038,0.785398127741615,-0.000703324626880124
0.000137603533767695,0.785398097725305,-0.000954510255864216
0.000173814990022351,0.785398058613214,-0.00120569496658809
0.000354872271295634,0.785397726617214,-0.00246160466645498
0.000535929552568917,0.785397167231723,-0.00371749106760981
0.000716986833842199,0.785396380460985,-0.00497335388489072
0.000898044115115482,0.785395366309297,-0.00622919283314584
0.0018033305214819,0.78538688499056,-0.0125080195594248
0.00270861692784831,0.785372719822114,-0.0187862067928205
0.00361390333421472,0.785352871399015,-0.0250637188996264
0.00451918974058113,0.78532734034857,-0.0313405202515273
0.0090456217724132,0.785114469897123,-0.0627126190944856
0.0135720538042453,0.784759646399044,-0.0940616072713107
0.0180984858360773,0.784262984537981,-0.125383034290227
0.0226249178679094,0.783624619135635,-0.156672450380702
0.0452570780270697,0.778313416472878,-0.312483878695509
0.06788923818623,0.769491403919189,-0.466825881997462
0.0905213983453904,0.757198179437494,-0.619134167139596
0.113153558504551,0.741486291363637,-0.768838062402843
0.174196114251206,0.6826306443742,-1.1552567931389
0.235238669997861,0.601197955025908,-1.50645584225684
0.296281225744517,0.4996899458019,-1.80999262077229
0.357323781491172,0.3814028270603,-2.05396568364483
0.42840312660047,0.227809015543812,-2.24899044513723
0.499482471709769,0.0642759620475252,-2.33474551655952
0.570561816819067,-0.101234958904029,-2.30463182813508
0.641641161928366,-0.260665826178176,-2.16210109752984
0.704023881181482,-0.389466326849782,-1.9533441621826
0.766406600434598,-0.503059293344767,-1.67730095124997
0.828789319687714,-0.597587574226382,-1.34671426820026
0.89117203894083,-0.670157237458973,-0.975695127996997
0.960315593363114,-0.722573759937311,-0.534068459728939
1.0294591477854,-0.743793713959847,-0.0765114237802369
1.09860270220768,-0.73317272964519,0.380470467888764
1.16774625662997,-0.691414387366185,0.820835830337073
1.23110541963883,-0.627350556554148,1.19637620639831
1.29446458264769,-0.540712064951392,1.53130192474021
1.35782374565655,-0.434457302225287,1.81230930942624
1.42118290866542,-0.31241306064435,2.02727240757993
1.49171866558977,-0.163500169353778,2.17651364506788
1.56225442251413,-0.00781977997100364,2.22065704428173
1.63279017943848,0.147116478259,2.15628076147925
1.70332593636284,0.293917264367144,1.98905275722234
1.76293731812317,0.406500859853616,1.77671005808665
1.82254869988351,0.504709888212941,1.50903973732729
1.88216008164385,0.585520679585579,1.19686184938308
1.94177146340419,0.646680787490508,0.851796335239732
2.01144178644751,0.691264122668805,0.422114949956892
2.08111210949084,0.7053584925773,-0.0202119340580681
2.15078243253416,0.688542523029436,-0.458638980597774
2.22045275557748,0.641764575469609,-0.876992950622725
2.28228898264465,0.576804895304068,-1.21869563080241
2.34412520971181,0.49191211709746,-1.51992305790624
2.40596143677898,0.389921091246692,-1.7689916689454
2.46779766384615,0.274393685021895,-1.95559397522936
2.53791575974855,0.132244746545668,-2.08116486230548
2.60803385565095,-0.0151612409256198,-2.10710328992046
2.67815195155336,-0.160779288724095,-2.03139406567593
2.74827004745576,-0.297762642267658,-1.86019474333321
2.80754234140632,-0.402105325754281,-1.64995747228827
2.86681463535688,-0.492417742208708,-1.38890054590882
2.92608692930744,-0.565941928968399,-1.08718206954783
2.985359223258,-0.620641869303112,-0.755658814204913
3.05504123524162,-0.659085462746634,-0.342301083862362
3.12472324722524,-0.668262466434873,0.0811775465860789
3.19440525920886,-0.647917573535884,0.498567161813064
3.26408727119248,-0.59913931520531,0.894006014716792
3.32614685426975,-0.533519144591314,1.21511813421029
3.38820643734702,-0.449209766957182,1.49469285933073
3.45026602042429,-0.349104083898263,1.72164370651854
3.51232560350156,-0.236776492888914,1.88652097524172
3.5820499451416,-0.101082498852467,1.9887130200237
3.65177428678165,0.0383910429603848,1.99655645126911
3.72149862842169,0.175042660248003,1.90932786433848
3.79122297006174,0.302540066277413,1.73363895169039
3.85092467062278,0.400021180713055,1.52187724742177
3.91062637118382,0.483379506173411,1.26260728699067
3.97032807174486,0.55002726458725,0.965778961421139
4.0300297723059,0.598091568515735,0.641975072247335
4.09982510951087,0.629150588113004,0.243233304759368
4.16962044671585,0.632037519077763,-0.162199286608614
4.23941578392082,0.606727285768225,-0.55842604465707
4.3092111211258,0.554514167428881,-0.929908763492883
4.37172054817586,0.486841555820228,-1.22920912574117
4.43422997522591,0.401774588340254,-1.4850123506502
4.49673940227597,0.302331516596339,-1.68683325051623
4.55924882932603,0.192165449039481,-1.82614293271342
4.6286972210194,0.0622002545783195,-1.90018241243622
4.69814561271278,-0.0697371267194439,-1.88467993581506
4.76759400440615,-0.197447822529721,-1.78043325937468
4.83704239609952,-0.315093442884397,-1.59481120477936
4.89740768160682,-0.405065915388427,-1.37663331229737
4.95777296711412,-0.480486671261654,-1.11475461509142
5.01813825262142,-0.538966314296978,-0.819110684204773
5.07850353812872,-0.578837975128582,-0.500166247279267
5.14865401077775,-0.6005146296844,-0.113912490123783
5.21880448342679,-0.594922876038523,0.274213989137864
5.28895495607582,-0.562370357852033,0.648510941328605
5.35910542872486,-0.504470750361836,0.993703247748765
5.42235582547401,-0.432736074607091,1.26776052982179
5.48560622222316,-0.345110508801035,1.49497677104747
5.54885661897232,-0.244838254806992,1.66558176176889
5.61210701572147,-0.135740692740491,1.77219644348446
5.68139453113205,-0.011086364759885,1.81003645771959
5.75068204654263,0.113184454821397,1.76305956109987
5.8199695619532,0.23126859544445,1.63397369016206
5.88925707736378,0.337845300972225,1.43128247013819
5.95058881634283,0.41881544147368,1.20035542880181
6.01192055532189,0.484366341382685,0.930551380248396
6.07325229430094,0.532368887793776,0.63201113619703
6.13458403328,0.561442022329685,0.315254218448759
6.2053936436911,0.570587768812174,-0.0596268985598606
6.2762032541022,0.553263398244448,-0.429401975629523
6.3470128645133,0.510273038749602,-0.778423838730072
6.4178224749244,0.443724095756662,-1.09165897807349
6.48211464532559,0.365522854806136,-1.33309090956652
6.54640681572678,0.273440375485872,-1.522613425349
6.61069898612797,0.171067981472911,-1.65154797153575
6.67499115652916,0.0624834411042167,-1.71420167621561
6.7442176747278,-0.0563854247562217,-1.70461910762207
6.81344419292644,-0.171770458821447,-1.61573924680956
6.88267071112508,-0.278322417043263,-1.45264723334708
6.95189722932372,-0.371330002869343,-1.22531735706649
7.01454904893146,-0.440501192773421,-0.975017872826552
7.07720086853921,-0.49291300064766,-0.69245037575942
7.13985268814695,-0.526812462475246,-0.388171753422425
7.20250450775469,-0.541239404490932,-0.072924007307104
7.27430427146212,-0.53353630432566,0.288384383439236
7.34610403516955,-0.500332449674367,0.63453198677512
7.41790379887698,-0.443167565296641,0.949860557386018
7.48970356258441,-0.364879744636149,1.21976258640396
7.55524382066194,-0.278222301791388,1.41517076713297
7.62078407873948,-0.180660143013189,1.55219153142036
7.68632433681701,-0.0762219167602762,1.62409165351714
7.75186459489455,0.0307383179175387,1.62783205857503
7.82112875844394,0.14158093079936,1.55823823705539
7.89039292199334,0.245040028338443,1.4170905634545
7.95965708554273,0.336374042732105,1.21217459649165
8.02892124909213,0.411655094242489,0.955020539471669
8.09327985622113,0.464508462242393,0.681074667303541
8.15763846335013,0.49892273287163,0.384220731784711
8.22199707047913,0.513712214300667,0.0756009553052798
